source_id,citation_key,year,venue,status,topic,primary_contribution,quantum_or_classical_component,comparison_or_control,hardware_or_data,qatelier_use,claim_boundary,verified_source_url
L01,Kim2025QLLMFineTuning,2025,arXiv:2504.08732,preprint,quantum fine-tuning / QLLM,"Introduces a hybrid architecture with a frozen sentence-transformer/classical stage and a parameterized quantum classification head; reports a finite-shot/noisy simulation study on SST-2-like low-data sentiment classification.","PQC head after a classical encoder; long-range qubit connections and data re-uploading are studied.","Logistic regression, SVC, and neural-network controls are reported; the paper itself notes that active support-vector count is only an imperfect parameter comparison for an RBF SVC.","SST-2 / SetFit-style low-data splits; finite shots and simulated gate noise; no physical QPU result in this paper.","S0 reproduction/calibration target and direct precedent for frozen-representation quantum heads.","The reported improvement is a screened study over a finite configuration set, not evidence of a general quantum advantage; the parameter-count comparison is not a capacity-equivalence proof.",https://arxiv.org/abs/2504.08732
L02,Knitter2026EnergyFineTuning,2026,arXiv:2605.02798,preprint,quantum fine-tuning / energy,"Measures energy-to-solution with direct instrumentation of an IonQ Forte Enterprise processor and applies the method to a hybrid quantum fine-tuning pipeline.","PQC fine-tuning stage executed on trapped-ion hardware.","Reports logistic-regression and SVC baselines and a tensor-network comparison.","Foundational-model classification pipeline; direct QPU power instrumentation; hardware details are those in the preprint.","Motivates resource reporting and a separate energy-to-solution audit, but does not license energy inference from gate count or service time.","The reported break-even and accuracy claims are study-specific empirical findings, not general QAtelier expectations; full-system energy comparisons remain workload- and instrumentation-dependent.",https://arxiv.org/abs/2605.02798
L03,Aizpurua2026CayleyAdapters,2026,arXiv:2605.05914,preprint,Cayley/unitary adapters / QLLM hardware,"Inserts Cayley-parameterized unitary adapter blocks into frozen projection layers and reports Llama 3.1 8B and SmolLM2 experiments.","Quantum circuit blocks used as unitary adapters; end-to-end inference is reported on a 156-qubit IBM Quantum System Two processor.","The abstract reports classical baselines, but the exact fairness and compression controls must be read from the full paper before borrowing any headline claim.","SmolLM2 systematic study and Llama 3.1 8B; IBM physical QPU validation is claimed by the authors.","Closest recent hardware-adapter precedent; QAtelier must compare against representation-matched classical unitary/orthogonal and strong nonlinear controls.","A 1.4% perplexity improvement and 6,000-parameter statement are author-reported preprint results, not independently verified here; do not treat them as established fact beyond the cited source.",https://arxiv.org/abs/2605.05914
L04,Li2026QCHFT,2026,IEEE Transactions on Quantum Engineering,early access,QCHFT / quantum PEFT,"Proposes four PQC-augmented adapter families: MPS-PQC, alternating and hierarchical pairwise contraction PQCs, and LinearA-Quantum-LinearB.","Shallow PQC adapter modules intended to capture cross-feature interactions under parameter constraints.","Compares against standard LoRA on a multi-tier IoT resource-allocation task across multiple causal LLM backbones.","Public IoT resource-allocation benchmark; the publisher abstract does not establish physical-QPU execution.","Must be treated as a direct competing adapter family and as motivation for tensor/MPS controls.","The abstract's accuracy gain over LoRA is task- and protocol-specific; it does not establish superiority over strong matched nonlinear, spectral, or tensor-network controls.",https://ieeexplore.ieee.org/document/11506237
L05,Chen2024QuanTA,2024,NeurIPS 2024,conference paper,quantum-inspired LLM adaptation,"Introduces quantum-informed tensor adaptation for efficient high-rank LLM fine-tuning without inference overhead.","Quantum-inspired tensor parameterization; no quantum circuit is required at inference according to the paper abstract.","Compares with LoRA and other fine-tuning methods on reasoning and scalability tasks.","LLM benchmarks; classical training implementation.","Prevents conflating quantum-inspired tensor structure with QPU execution; informs the non-quantum tensor control arm.","A method can borrow quantum circuit structure without providing quantum computation; QAtelier should report this as a classical control or neighboring method, not a quantum result.",https://proceedings.neurips.cc/paper_files/paper/2024/hash/a7c17115db36193f6b83b71b0fe1d416-Abstract-Conference.html
L06,Havlicek2019QuantumFeatureSpaces,2019,Nature,peer-reviewed,quantum kernels,"Demonstrates supervised learning with a quantum-enhanced feature space and a quantum kernel on a superconducting processor.","Quantum feature map and kernel estimation.","Classical comparisons are part of the experiment, but the result concerns a particular feature map and task rather than arbitrary classical data.","IBM superconducting processor; the paper's datasets and device are the scope of evidence.","Foundational kernel precedent and a template for reporting kernel alignment and hardware metadata.","An experimentally implemented quantum kernel is not automatically a practical advantage; QAtelier must compare its geometry with strong classical kernels on identical representations.",https://doi.org/10.1038/s41586-019-0980-2
L07,Schuld2019FeatureHilbertSpaces,2019,Physical Review Letters,peer-reviewed,theory / quantum kernels,"Frames data encoding as a nonlinear feature map into a quantum Hilbert space and connects quantum kernels with variational quantum models.","Quantum state feature map, kernel inner products, and explicit Hilbert-space models.","Classical kernel methods are the conceptual comparator.","Theoretical and illustrative low-dimensional examples.","Supports precise language about feature spaces and why a quantum head is a hypothesis-class choice, not a replacement for the frozen encoder.","A large or hard-to-evaluate Hilbert space alone does not establish useful predictive performance or end-to-end advantage.",https://doi.org/10.1103/PhysRevLett.122.040504
L08,Huang2021PowerOfData,2021,Nature Communications,peer-reviewed,kernel geometry / classical equivalence,"Develops prediction-error bounds and a geometric-difference methodology showing when classical learners can compete with quantum models; constructs engineered cases with a projected quantum model advantage.","Quantum kernel and projected quantum kernel compared with classical ML.","Gaussian SVM, linear SVM, AdaBoost, random forest, neural networks, and gradient boosting are included in the reported engineered comparisons.","Engineered data and quantum-generated datasets; simulations up to 30 qubits in the reported study.","Direct rationale for target-aligned synthetic tasks, strong classical ladders, and kernel-target/geometric diagnostics.","The engineered advantage is distribution- and embedding-dependent; it cannot be transferred to frozen language representations without new evidence.",https://doi.org/10.1038/s41467-021-22539-9
L09,Kubler2021InductiveBias,2021,NeurIPS 2021,conference paper,kernel inductive bias,"Analyzes quantum-kernel spectra and argues that useful advantage requires a low-dimensional target-aligned RKHS with a classically hard-to-encode bias.","Quantum kernels and projected kernels.","Classically tractable kernels and classical RKHS methods are the explicit comparator.","Theoretical analysis and numerical experiments.","Defines the conceptual standard for QAtelier's kernel spectra, target alignment, effective rank, and measurement-cost audit.","The paper itself cautions that finding a suitable kernel and estimating it can be difficult; expressivity is not sufficient.",https://papers.nips.cc/paper/2021/hash/69adc1e107f7f7d035d7baf04342e1ca-Abstract.html
L10,Slattery2023NumericalEvidence,2023,Physical Review A,peer-reviewed,classical equivalence / kernel tuning,"Finds numerical evidence that common hyperparameter tuning can make quantum fidelity kernels well approximated by classical kernels on synthetic and real data.","Quantum fidelity kernels.","Classical approximating kernels after tuning.","Synthetic and real classical datasets; numerical study.","Requires an explicit classical-kernel approximation and post-tuning kernel-distance diagnostic in QAtelier.","The conclusion is numerical evidence for the studied maps and tuning procedures, not a theorem that every quantum kernel is classically equivalent.",https://doi.org/10.1103/PhysRevA.107.062417
L11,Jerbi2023BeyondKernelMethods,2023,Nature Communications,peer-reviewed,data re-uploading / model taxonomy,"Unifies standard PQC models as linear quantum models and maps data-re-uploading circuits into linear models in larger Hilbert spaces; compares resource requirements.","Explicit, implicit/kernel, and data-re-uploading quantum models.","Kernel models and explicit models are compared through qubit/data resource requirements and generalization behavior.","Theoretical separations plus experiments described in the article.","Supports treating a data-reuploading adapter as a structured function class and motivates explicit resource accounting rather than parameter count alone.","The reported exponential separations are for constructed learning tasks; they do not imply a separation on frozen foundation-model representations.",https://doi.org/10.1038/s41467-023-36159-y
L12,PerezSalinas2020DataReuploading,2020,Quantum,peer-reviewed,data re-uploading,"Shows that repeated data encoding interleaved with trainable single-qubit processing can yield a universal quantum classifier, with benchmarking on single- and multi-qubit examples.","Repeated data uploads, trainable single-qubit gates, and optional entanglement.","The paper compares the strategy conceptually with a one-hidden-layer classical neural network.","Benchmark examples; no claim of QAtelier-scale language tasks.","Provides the architectural precedent for re-upload count and for separating local from entangling effects.","Universality is an asymptotic/function-approximation statement; it does not imply efficient optimization, generalization, or hardware utility.",https://doi.org/10.22331/q-2020-02-06-226
L13,Schuld2021DataEncoding,2021,Physical Review A,peer-reviewed,data re-uploading / Fourier,"Shows that quantum models can be written as partial Fourier series whose accessible frequencies are determined by data-encoding gates and repeated uploads.","Encoding-gate spectra and repeated data uploads.","Classical Fourier/spectral models are the necessary conceptual control, even where not run as the paper's main baseline.","Theoretical analysis with model examples.","Makes the spectrum-matched surrogate a required QAtelier baseline and gives a principled language for interaction/spectral diagnostics.","Accessible Fourier support does not by itself show that a quantum circuit learns or evaluates the spectrum more efficiently.",https://doi.org/10.1103/PhysRevA.103.032430
L14,Sweke2025RFFDequantization,2025,Quantum,peer-reviewed,dequantization / RFF,"Derives necessary and sufficient conditions for random Fourier features to efficiently dequantize variational QML regression in the analyzed setting.","PQC regression models and their RFF-based classical surrogates.","Random Fourier feature regression is the direct control.","Theoretical analysis of regression settings and PQC architectures.","Strongest direct justification for estimating and matching the PQC's spectral support with a classical surrogate.","The conditions are for the specified regression/dequantization framework; QAtelier must test them empirically for its classification and retrieval tasks rather than assume equivalence.",https://doi.org/10.22331/q-2025-02-20-1640
L15,Yamasaki2020OptimizedRandomFeatures,2020,NeurIPS 2020,conference paper,quantum speedup theory / RFF,"Presents a quantum algorithm for sampling optimized random features with a claimed runtime advantage under its data-access and algorithmic assumptions.","Quantum sampling of optimized random features followed by classical regression.","Classical random-feature and kernel-learning algorithms are the relevant comparator.","Theoretical algorithmic setting, not a QAtelier hardware experiment.","Provides context for why RFF is a meaningful control and why end-to-end data-access assumptions must be stated.","The claimed speedup is for a particular algorithmic sampling problem and assumptions; it is not evidence that a small variational adapter beats classical RFF on classical data.",https://proceedings.neurips.cc/paper/2020/hash/9ddb9dd5d8aee9a76bf217a2a3c54833-Abstract.html
L16,McClean2018BarrenPlateaus,2018,Nature Communications,peer-reviewed,barren plateaus,"Shows that sufficiently expressive random parameterized circuits can have exponentially vanishing gradient variance, creating barren plateaus.","Random/deep parameterized quantum circuits and gradient landscapes.","The control is circuit depth/initialization/locality, not a classical predictor.","Analytical results with numerical illustration.","Requires gradient-norm/variance diagnostics before hardware and depth/qubit ablations.","Barren-plateau scaling statements depend on circuit and initialization assumptions; a small shallow QAtelier circuit cannot be declared barren from this paper alone.",https://doi.org/10.1038/s41467-018-07090-4
L17,Cerezo2021CostFunctionPlateaus,2021,Nature Communications,peer-reviewed,trainability / cost locality,"Proves that global costs can exhibit exponentially vanishing gradients even for shallow ansätze, while local costs can have polynomial decay for logarithmic depth under stated assumptions.","Parameterized circuits with global versus local observables.","Cost locality and circuit depth are the manipulated controls.","Analytical results and simulations up to 100 qubits.","Supports local-observable design, gradient diagnostics, and explicit cost-function reporting.","The theorems rely on ansatz/design and locality assumptions; they do not predict a particular QAtelier architecture without checking those assumptions.",https://doi.org/10.1038/s41467-021-21728-w
L18,Abbas2021PowerQNN,2021,Nature Computational Science,peer-reviewed,effective dimension / trainability,"Defines an effective dimension based on Fisher information and reports numerical comparisons between QNNs and feedforward networks, including real-hardware verification.","Quantum neural networks and Fisher-information spectra.","Comparable classical feedforward networks.","Numerical study and real quantum hardware verification.","Justifies effective-dimension, Fisher-spectrum, and optimization-speed diagnostics alongside predictive metrics.","Effective dimension is data- and model-dependent; a higher value is not a standalone proof of better generalization or quantum advantage.",https://doi.org/10.1038/s43588-021-00084-1
L19,Caro2022GeneralizationFewData,2022,Nature Communications,peer-reviewed,generalization / low data,"Derives generalization bounds for variational QML in terms of trainable gates and analyzes few-data settings.","Variational QML with T trainable gates and gate-sharing effects.","The bound is a theory result, not a classical model comparison.","Theoretical analysis and quantum-state classification/compiling examples.","Supports preregistered low-data curves and gate-count reporting, while keeping empirical generalization analysis separate from a worst-case bound.","The bound concerns the stated QML class and training process; it does not guarantee good generalization for the frozen-embedding tasks.",https://doi.org/10.1038/s41467-022-32550-3
L20,GilFuster2024RethinkingGeneralization,2024,Nature Communications,peer-reviewed,generalization / memorization,"Shows that QNNs can fit random labels in the studied settings and argues that uniform complexity-only generalization guarantees can be vacuous.","QNNs trained on quantum states with randomized labels.","Random-label and true-label controls.","Numerical randomization experiments plus a theoretical construction.","Requires label-permutation controls and prevents interpreting trainability or fit as evidence of a useful inductive bias.","The findings challenge uniform bounds; they do not say that every QNN fails to generalize on structured data.",https://doi.org/10.1038/s41467-024-45882-z
L21,Gentinetta2023KernelAlignment,2023,QCE 2023,conference paper,kernel alignment,"Studies stochastic-gradient kernel alignment using Pegasos and reports alignment experiments for quantum feature maps.","Trainable quantum feature maps and quantum SVM alignment.","Previous quantum-kernel alignment procedures and target labels.","Synthetic and non-stationary data experiments reported in the paper.","Informs target alignment, nested-selection safeguards, and the cost of building a full kernel matrix.","Alignment can improve a kernel for a dataset while increasing selection leakage or measurement cost; it is not a free quantum benefit.",https://doi.org/10.1109/QCE57702.2023.00036
L22,Stoudenmire2016TensorNetworks,2016,NeurIPS 2016,conference paper,tensor-network control,"Uses matrix product states/tensor trains as nonlinear kernel-learning models for supervised classification and discusses their induced structure.","Classical MPS/tensor-train classifier.","The MPS is itself the classical control against which a PQC's apparent high-order structure should be tested.","MNIST demonstration with reported test error below 1% in the abstract.","Direct precedent for the QAtelier MPS/tensor-network control and for entanglement-like connectivity comparisons.","MPS performance depends on feature map, bond dimension, ordering, and optimization; it is not a universal proxy for every classical model.",https://proceedings.neurips.cc/paper_files/paper/2016/hash/5314b9674c86e3f9d1ba25ef9bb32895-Abstract.html
L23,Liu2023ClassicalCircuitSimulation,2023,NeurIPS 2023,conference paper,classical simulation / tensor networks,"Frames classical quantum-circuit simulation as a tensor-network contraction-ordering problem and provides a benchmark-oriented simulation environment.","Classical tensor-network simulation of quantum circuits.","State-vector and tensor-network simulation methods are the relevant controls.","Quantum-circuit simulation benchmark; no claim that the benchmark itself proves QML advantage.","Supports independent simulator validation and a classical simulability/resource audit for the selected circuits.","A circuit being difficult for one simulator is not evidence of useful predictive quantum advantage; simulation cost must be measured for the actual circuit family.",https://proceedings.neurips.cc/paper_files/paper/2023/hash/d41b70011dd21ec3de5e019302279551-Abstract-Datasets_and_Benchmarks.html
L24,Wang2025DeepDataReuploading,2025,ICML 2025,conference paper,contemporary QML / re-uploading,"Provides theoretical and empirical evidence that deep, narrow data-reuploading models can lose predictive performance on high-dimensional data, with wider circuits preferred in the studied settings.","Limited-qubit data-reuploading models.","Synthetic linearly separable and real-data experiments; the central control is width versus encoding depth.","ICML 2025 paper; exact datasets and protocol are in the primary paper.","Directly informs staged q/depth/re-upload screening and prevents assuming that more uploads monotonically improve generalization.","The result is architecture- and data-dependent; it should guide QAtelier ablations, not be applied as a universal scaling law.",https://proceedings.mlr.press/v267/wang25cw.html
L25,GilFuster2025TrainabilityDequantization,2025,ICLR 2025,conference paper,contemporary QML / dequantization,"Formalizes trainability and dequantization for variational QML and constructs models intended to be both trainable and non-dequantizable under stated assumptions.","Variational QML models and classical dequantization criteria.","Classical simulation/dequantization is the explicit comparator.","Theoretical constructions and examples rather than QAtelier application data.","Provides the vocabulary for separating trainability, non-dequantizability, and practical utility in the claim ladder.","Existence of trainable non-dequantizable constructions does not establish usefulness on classical foundation-model embeddings or near-term hardware.",https://proceedings.iclr.cc/paper_files/paper/2025/hash/3c215225324f9988858602dc92219615-Abstract-Conference.html
L26,Wang2021NoiseInducedBarrenPlateaus,2021,Nature Communications,peer-reviewed,barren plateaus / noise,"Proves that local Pauli noise can induce exponentially vanishing gradients when circuit depth grows linearly with qubit count under the analyzed assumptions.","Noisy variational circuits and noise-induced training landscapes.","Noise model, depth, and cost assumptions define the theorem's scope.","Analytical result; relevant to QAtelier's noisy simulation and hardware-retention gate.","Requires a declared noise-screen stage and gradient diagnostics before hardware execution.","The theorem is not a prediction for every shallow QAtelier circuit or provider noise model; test the selected circuits directly.",https://doi.org/10.1038/s41467-021-27045-6
